,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,FMplex,CDD,CDD,CDD,CDD,Redlog,Redlog,Redlog,Redlog,Redlog,Redlog,Redlog,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,FM,z3,z3,z3,z3,z3,z3,z3,stats,stats,stats,stats,stats,stats,stats
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_4-prop-3_last5,success,1.712,8612,0.0,242.0,5.0,10.0,0.0,5.0,247.0,1369.0,success,19.338,38864,242.0,success,0.294,80268,0.0,0.0,0.0,242.0,success,1.722,8656,0.0,242.0,5.0,0.0,247.0,0.0,0.0,1415.0,success,2.836,143720,252.0,1.0,0.0,0.0,247,84,5,0.2947844724934508,0.0121457489878542,0.481277213352685,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_4-prop-3_random5,timeout,310.0,1018880,,,,,,,,,timeout,310.0,304940,,invalid,268.254,3955152,,,,,memout,305.0,69404,,,,,,,,,timeout,310.0,140940,,,,,247,84,5,0.2947844724934508,0.3927125506072874,0.481277213352685,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_5-prop-3_first5,timeout,310.0,714072,,,,,,,,,timeout,310.0,320544,,timeout,310.0,3890652,,,,,memout,305.0,3994596,,,,,,,,,timeout,310.0,83540,,,,,142,49,5,0.3132394366197183,0.6338028169014085,0.5266811279826464,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_5-prop-3_last5,success,0.416,7500,0.0,137.0,5.0,10.0,0.0,5.0,142.0,265.0,success,3.443,15068,137.0,success,0.195,57588,0.0,0.0,0.0,137.0,success,0.374,7728,0.0,137.0,5.0,0.0,142.0,0.0,0.0,262.0,success,2.268,54556,147.0,1.0,0.0,0.0,142,49,5,0.3132394366197183,0.0211267605633802,0.5266811279826464,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_5-prop-3_random5,timeout,310.0,1614272,,,,,,,,,timeout,310.0,367176,,timeout,310.0,3743228,,,,,memout,305.0,3559772,,,,,,,,,timeout,310.0,83800,,,,,142,49,5,0.3132394366197183,0.3464788732394366,0.5266811279826464,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_6-prop-3_first5,timeout,310.0,1134668,,,,,,,,,timeout,310.0,782748,,timeout,310.0,3938620,,,,,memout,305.0,41348,,,,,,,,,timeout,310.0,83700,,,,,178,61,5,0.3042769119246103,0.6404494382022472,0.5220772007775618,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_6-prop-3_last5,success,0.684,7884,0.0,173.0,5.0,10.0,0.0,5.0,178.0,505.0,success,6.895,21700,173.0,success,0.22,65828,0.0,0.0,0.0,173.0,success,0.668,8060,0.0,173.0,5.0,0.0,178.0,0.0,0.0,486.0,success,4.607,83136,183.0,1.0,0.0,0.0,178,61,5,0.3042769119246103,0.0168539325842696,0.5220772007775618,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_6-prop-3_random5,timeout,310.0,1230856,,,,,,,,,timeout,310.0,837640,,timeout,310.0,3880616,,,,,memout,305.0,3870228,,,,,,,,,timeout,310.0,142044,,,,,178,61,5,0.3042769119246103,0.2887640449438202,0.5220772007775618,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_7-prop-3_first5,timeout,310.0,685784,,,,,,,,,timeout,310.0,217556,,timeout,310.0,3360316,,,,,memout,305.0,458336,,,,,,,,,timeout,310.0,55408,,,,,79,28,5,0.3417721518987341,0.6075949367088608,0.5547945205479452,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_7-prop-3_last5,success,0.174,7216,0.0,96.0,23.0,232.0,0.0,5.0,79.0,63.0,success,0.66,6768,96.0,success,0.344,90536,0.0,0.0,1.0,1480.0,success,0.462,17120,0.0,954.0,5.0,0.0,79.0,0.0,0.0,363.0,timeout,310.0,55596,,,,,79,28,5,0.3417721518987341,0.0582278481012658,0.5547945205479452,0.7
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_7-prop-3_random5,success,10.168,127632,0.0,12887.0,561.0,164552.0,0.0,5.0,79.0,9462.0,success,7.621,171476,12888.0,timeout,310.0,3249836,,,,,memout,305.0,3994508,,,,,,,,,timeout,310.0,55460,,,,,79,28,5,0.3417721518987341,0.2531645569620253,0.5547945205479452,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_8-prop-3_first5,timeout,310.0,1060936,,,,,,,,,timeout,310.0,294880,,timeout,310.0,3913244,,,,,memout,305.0,3994548,,,,,,,,,timeout,310.0,83196,,,,,139,48,5,0.3196300102774922,0.6330935251798561,0.5067873303167421,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_8-prop-3_last5,success,0.395,7452,0.0,134.0,5.0,10.0,0.0,5.0,139.0,263.0,success,3.093,14524,134.0,success,0.215,57580,0.0,0.0,0.0,134.0,success,0.552,7372,0.0,134.0,5.0,0.0,139.0,0.0,0.0,263.0,success,1.727,54356,144.0,1.0,0.0,0.0,139,48,5,0.3196300102774922,0.0215827338129496,0.5067873303167421,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_8-prop-3_random5,timeout,310.0,2048700,,,,,,,,,timeout,310.0,542100,,timeout,310.0,3937564,,,,,memout,305.0,48436,,,,,,,,,timeout,310.0,83572,,,,,139,48,5,0.3196300102774922,0.339568345323741,0.5067873303167421,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_9-prop-3_first5,timeout,310.0,776492,,,,,,,,,timeout,310.0,611956,,timeout,310.0,3720640,,,,,memout,305.0,2825000,,,,,,,,,timeout,310.0,86124,,,,,112,39,5,0.3245535714285714,0.625,0.5349480968858131,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_9-prop-3_last5,success,0.389,7328,0.0,127.0,5.0,80.0,0.0,5.0,112.0,142.0,success,1.626,10604,127.0,success,0.246,65972,0.0,0.0,1.0,535.0,success,15.705,447796,0.0,21707.0,5.0,0.0,112.0,0.0,0.0,13576.0,success,2.604,55804,265.0,1.0,0.0,0.0,112,39,5,0.3245535714285714,0.0410714285714285,0.5349480968858131,0.4
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-3_9-prop-3_random5,timeout,310.0,1046368,,,,,,,,,timeout,310.0,120768,,timeout,310.0,3871976,,,,,memout,305.0,2036788,,,,,,,,,timeout,310.0,53756,,,,,112,39,5,0.3245535714285714,0.4553571428571428,0.5349480968858131,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_1-prop-3_first5,timeout,310.0,825980,,,,,,,,,timeout,310.0,782476,,timeout,310.0,3929512,,,,,memout,305.0,40516,,,,,,,,,timeout,310.0,84164,,,,,178,61,5,0.2874229793403407,0.6404494382022472,0.4607053596223271,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_1-prop-3_last5,success,0.734,7768,0.0,173.0,5.0,10.0,0.0,5.0,178.0,502.0,success,6.594,21860,173.0,success,0.278,61716,0.0,0.0,0.0,173.0,success,0.73,7956,0.0,173.0,5.0,0.0,178.0,0.0,0.0,496.0,success,2.161,85196,183.0,1.0,0.0,0.0,178,61,5,0.2874229793403407,0.0168539325842696,0.4607053596223271,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_1-prop-3_random5,timeout,310.0,1469864,,,,,,,,,timeout,310.0,388808,,timeout,310.0,3814912,,,,,memout,305.0,989352,,,,,,,,,timeout,310.0,82448,,,,,178,61,5,0.2874229793403407,0.4505617977528089,0.4607053596223271,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_2-prop-3_first5,timeout,310.0,570024,,,,,,,,,timeout,310.0,935000,,timeout,310.0,3905120,,,,,memout,305.0,75680,,,,,,,,,timeout,310.0,140900,,,,,226,77,5,0.2854549580213297,0.6460176991150443,0.4588886965553055,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_2-prop-3_last5,success,1.291,8300,0.0,221.0,5.0,10.0,0.0,5.0,226.0,1010.0,success,13.849,33160,221.0,success,0.337,72028,0.0,0.0,0.0,221.0,success,1.273,8512,0.0,221.0,5.0,0.0,226.0,0.0,0.0,1019.0,success,4.073,87140,231.0,1.0,0.0,0.0,226,77,5,0.2854549580213297,0.0132743362831858,0.4588886965553055,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_2-prop-3_random5,success,37.364,587852,0.0,31765.0,59.0,92873.0,0.0,5.0,226.0,34736.0,success,122.128,1129604,31765.0,success,91.637,3357256,0.0,0.0,1.0,323102.0,memout,305.0,113712,,,,,,,,,timeout,310.0,140852,,,,,226,77,5,0.2854549580213297,0.1584070796460177,0.4588886965553055,0.48
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_3-prop-3_first5,timeout,310.0,388364,,,,,,,,,timeout,310.0,858468,,timeout,310.0,3906872,,,,,memout,305.0,110372,,,,,,,,,timeout,310.0,143836,,,,,259,88,5,0.2854973753850158,0.6486486486486487,0.4635402906208719,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_3-prop-3_last5,success,1.911,8724,0.0,254.0,5.0,10.0,0.0,5.0,259.0,1552.0,success,22.569,42496,254.0,success,0.538,79984,0.0,0.0,0.0,254.0,success,1.97,8956,0.0,254.0,5.0,0.0,259.0,0.0,0.0,1612.0,success,3.896,142840,264.0,1.0,0.0,0.0,259,88,5,0.2854973753850158,0.0115830115830115,0.4635402906208719,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_3-prop-3_random5,timeout,310.0,2108016,,,,,,,,,timeout,310.0,218264,,invalid,226.832,3957396,,,,,memout,305.0,3994524,,,,,,,,,timeout,310.0,259892,,,,,259,88,5,0.2854973753850158,0.3227799227799228,0.4635402906208719,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_4-prop-3_first5,timeout,310.0,684600,,,,,,,,,timeout,310.0,509508,,timeout,310.0,3634416,,,,,memout,305.0,1153204,,,,,,,,,timeout,310.0,54312,,,,,94,33,5,0.334793491864831,0.6170212765957447,0.5453658536585366,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_4-prop-3_last5,success,0.221,7680,0.0,141.0,23.0,336.0,0.0,5.0,94.0,117.0,success,1.33,8396,141.0,success,0.417,107004,0.0,0.0,1.0,2047.0,memout,305.0,174152,,,,,,,,,timeout,310.0,54804,,,,,94,33,5,0.334793491864831,0.0574468085106383,0.5453658536585366,0.65
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_4-prop-3_random5,timeout,310.0,990436,,,,,,,,,timeout,310.0,741400,,timeout,310.0,3278332,,,,,memout,305.0,302448,,,,,,,,,timeout,310.0,54256,,,,,94,33,5,0.334793491864831,0.4489361702127659,0.5453658536585366,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_5-prop-3_first5,timeout,310.0,611060,,,,,,,,,timeout,310.0,594632,,timeout,310.0,3710328,,,,,memout,305.0,1359996,,,,,,,,,timeout,310.0,54364,,,,,97,34,5,0.3360824742268041,0.6185567010309279,0.5422018348623853,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_5-prop-3_last5,success,0.205,7560,0.0,130.0,11.0,185.0,0.0,5.0,97.0,111.0,success,1.112,8760,130.0,success,0.312,82412,0.0,0.0,1.0,1196.0,memout,305.0,1423496,,,,,,,,,success,57.005,95100,796.0,1.0,0.0,0.0,97,34,5,0.3360824742268041,0.0556701030927835,0.5422018348623853,0.55
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_5-prop-3_random5,timeout,310.0,1110120,,,,,,,,,timeout,310.0,174216,,timeout,310.0,3437936,,,,,memout,305.0,387368,,,,,,,,,timeout,310.0,85892,,,,,97,34,5,0.3360824742268041,0.3505154639175257,0.5422018348623853,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_6-prop-3_first5,timeout,310.0,686356,,,,,,,,,timeout,310.0,900016,,timeout,310.0,3921536,,,,,memout,305.0,111788,,,,,,,,,timeout,310.0,144304,,,,,259,88,5,0.2920914493948202,0.6486486486486487,0.5112285336856011,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_6-prop-3_last5,success,1.852,8860,0.0,254.0,5.0,10.0,0.0,5.0,259.0,1522.0,success,19.304,42484,254.0,success,0.484,82072,0.0,0.0,0.0,254.0,success,1.913,9152,0.0,254.0,5.0,0.0,259.0,0.0,0.0,1564.0,success,2.817,143128,264.0,1.0,0.0,0.0,259,88,5,0.2920914493948202,0.0115830115830115,0.5112285336856011,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_6-prop-3_random5,timeout,310.0,2939132,,,,,,,,,timeout,310.0,368156,,timeout,310.0,3714700,,,,,memout,305.0,3994544,,,,,,,,,timeout,310.0,144560,,,,,259,88,5,0.2920914493948202,0.3111969111969112,0.5112285336856011,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_7-prop-3_first5,timeout,310.0,605740,,,,,,,,,timeout,310.0,191592,,timeout,310.0,3831360,,,,,memout,305.0,3994484,,,,,,,,,timeout,310.0,53424,,,,,121,42,5,0.3200076878723813,0.628099173553719,0.5326991676575505,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_7-prop-3_last5,success,0.298,7640,0.0,136.0,5.0,80.0,0.0,5.0,121.0,177.0,success,2.037,11908,136.0,success,0.269,66020,0.0,0.0,1.0,580.0,success,17.37,485840,0.0,22014.0,5.0,0.0,121.0,0.0,0.0,14843.0,success,3.799,54368,298.0,1.0,0.0,0.0,121,42,5,0.3200076878723813,0.0380165289256198,0.5326991676575505,0.4
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_7-prop-3_random5,timeout,310.0,1229520,,,,,,,,,timeout,310.0,214668,,timeout,310.0,3308992,,,,,memout,305.0,216332,,,,,,,,,timeout,310.0,53312,,,,,121,42,5,0.3200076878723813,0.2892561983471074,0.5326991676575505,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_8-prop-3_first5,timeout,310.0,637896,,,,,,,,,timeout,310.0,689824,,timeout,310.0,3790192,,,,,memout,305.0,2148304,,,,,,,,,timeout,310.0,85180,,,,,106,37,5,0.3286991062562066,0.6226415094339622,0.5404780262143408,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_8-prop-3_last5,success,0.297,7792,0.0,145.0,19.0,256.0,0.0,5.0,106.0,149.0,success,1.909,9720,145.0,success,0.405,107016,0.0,0.0,1.0,1919.0,memout,305.0,149360,,,,,,,,,timeout,310.0,86252,,,,,106,37,5,0.3286991062562066,0.0509433962264151,0.5404780262143408,0.65
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_8-prop-3_random5,timeout,310.0,1358500,,,,,,,,,timeout,310.0,568096,,timeout,310.0,3753188,,,,,memout,305.0,2148044,,,,,,,,,timeout,310.0,84304,,,,,106,37,5,0.3286991062562066,0.4094339622641509,0.5404780262143408,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_9-prop-3_first5,timeout,310.0,711668,,,,,,,,,timeout,310.0,441496,,timeout,310.0,3921376,,,,,memout,305.0,3193136,,,,,,,,,timeout,310.0,82748,,,,,154,53,5,0.3097643097643097,0.6363636363636364,0.5275415896487985,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_9-prop-3_last5,success,0.567,8424,0.0,191.0,11.0,189.0,0.0,5.0,154.0,386.0,success,4.205,17196,191.0,success,0.488,127256,0.0,0.0,1.0,2086.0,memout,305.0,3973604,,,,,,,,,success,75.529,168012,908.0,1.0,0.0,0.0,154,53,5,0.3097643097643097,0.035064935064935,0.5275415896487985,0.55
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-4_9-prop-3_random5,timeout,310.0,1261976,,,,,,,,,timeout,310.0,245568,,timeout,310.0,3954020,,,,,memout,305.0,266656,,,,,,,,,timeout,310.0,82864,,,,,154,53,5,0.3097643097643097,0.4103896103896104,0.5275415896487985,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_1-prop-3_first5,timeout,310.0,871824,,,,,,,,,timeout,310.0,851012,,timeout,310.0,3880344,,,,,memout,305.0,78312,,,,,,,,,timeout,310.0,141432,,,,,229,78,5,0.2835111381349842,0.6462882096069869,0.4509274873524452,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_1-prop-3_last5,success,1.293,8320,0.0,224.0,5.0,10.0,0.0,5.0,229.0,1042.0,success,13.913,33824,224.0,success,0.272,72120,0.0,0.0,0.0,224.0,success,1.281,8580,0.0,224.0,5.0,0.0,229.0,0.0,0.0,1030.0,success,3.229,87792,234.0,1.0,0.0,0.0,229,78,5,0.2835111381349842,0.0131004366812227,0.4509274873524452,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_1-prop-3_random5,timeout,310.0,1600944,,,,,,,,,timeout,310.0,299148,,timeout,310.0,3954412,,,,,memout,305.0,3637748,,,,,,,,,timeout,310.0,263660,,,,,229,78,5,0.2835111381349842,0.4323144104803493,0.4509274873524452,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_2-prop-3_first5,timeout,310.0,445236,,,,,,,,,timeout,310.0,593636,,timeout,310.0,3921248,,,,,memout,305.0,937444,,,,,,,,,timeout,310.0,145780,,,,,166,57,5,0.2989198171998338,0.6385542168674698,0.4660503665922856,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_2-prop-3_last5,success,0.859,7396,0.0,161.0,5.0,10.0,0.0,5.0,166.0,420.0,success,5.231,19408,161.0,success,0.254,61896,0.0,0.0,0.0,161.0,success,0.589,7844,0.0,161.0,5.0,0.0,166.0,0.0,0.0,413.0,success,2.321,51708,171.0,1.0,0.0,0.0,166,57,5,0.2989198171998338,0.0180722891566265,0.4660503665922856,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_2-prop-3_random5,memout,305.0,3991072,,,,,,,,,timeout,310.0,370132,,timeout,310.0,3970384,,,,,memout,305.0,217632,,,,,,,,,timeout,310.0,83872,,,,,166,57,5,0.2989198171998338,0.3493975903614458,0.4660503665922856,0.56
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_3-prop-3_first5,timeout,310.0,947908,,,,,,,,,timeout,310.0,1033184,,timeout,310.0,3913252,,,,,memout,305.0,58588,,,,,,,,,timeout,310.0,142208,,,,,205,70,5,0.2935760906904843,0.6439024390243903,0.4857202855942881,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_3-prop-3_last5,success,1.015,8088,0.0,200.0,5.0,10.0,0.0,5.0,205.0,777.0,success,11.082,27756,200.0,success,0.327,69764,0.0,0.0,0.0,200.0,success,0.97,8364,0.0,200.0,5.0,0.0,205.0,0.0,0.0,760.0,success,2.161,85484,210.0,1.0,0.0,0.0,205,70,5,0.2935760906904843,0.0146341463414634,0.4857202855942881,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_3-prop-3_random5,success,64.94,946528,0.0,53638.0,75.0,150083.0,0.0,5.0,205.0,60466.0,success,161.164,1720608,53638.0,success,120.279,3701276,0.0,0.0,1.0,379000.0,memout,305.0,130924,,,,,,,,,timeout,310.0,150756,,,,,205,70,5,0.2935760906904843,0.2039024390243902,0.4857202855942881,0.48
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_4-prop-3_first5,timeout,310.0,687232,,,,,,,,,timeout,310.0,294648,,timeout,310.0,3913384,,,,,memout,305.0,3994560,,,,,,,,,timeout,310.0,83516,,,,,139,48,5,0.3163999412714726,0.6330935251798561,0.5153846153846153,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_4-prop-3_last5,success,0.377,7456,0.0,134.0,5.0,10.0,0.0,5.0,139.0,246.0,success,3.081,14572,134.0,success,0.393,57684,0.0,0.0,0.0,134.0,success,0.376,7668,0.0,134.0,5.0,0.0,139.0,0.0,0.0,246.0,success,1.752,54452,144.0,1.0,0.0,0.0,139,48,5,0.3163999412714726,0.0215827338129496,0.5153846153846153,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_4-prop-3_random5,timeout,310.0,2102996,,,,,,,,,timeout,310.0,304416,,timeout,310.0,3872316,,,,,memout,305.0,310916,,,,,,,,,timeout,310.0,82744,,,,,139,48,5,0.3163999412714726,0.3136690647482014,0.5153846153846153,0.7
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_5-prop-3_first5,timeout,310.0,377992,,,,,,,,,timeout,310.0,552592,,timeout,310.0,3937640,,,,,memout,305.0,1566288,,,,,,,,,timeout,310.0,83460,,,,,163,56,5,0.3075018835432138,0.6380368098159509,0.5221414408460013,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_5-prop-3_last5,success,0.56,7696,0.0,158.0,5.0,10.0,0.0,5.0,163.0,397.0,success,5.106,18788,158.0,success,0.231,61624,0.0,0.0,0.0,158.0,success,0.551,7968,0.0,158.0,5.0,0.0,163.0,0.0,0.0,395.0,success,2.227,84936,168.0,1.0,0.0,0.0,163,56,5,0.3075018835432138,0.0184049079754601,0.5221414408460013,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_5-prop-3_random5,timeout,310.0,1834372,,,,,,,,,timeout,310.0,809144,,timeout,310.0,3741156,,,,,memout,305.0,3994324,,,,,,,,,timeout,310.0,83596,,,,,163,56,5,0.3075018835432138,0.2883435582822086,0.5221414408460013,0.6
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_6-prop-3_first5,timeout,310.0,907228,,,,,,,,,timeout,310.0,552212,,timeout,310.0,3904708,,,,,memout,305.0,1567460,,,,,,,,,timeout,310.0,83524,,,,,163,56,5,0.3146055322354967,0.6380368098159509,0.5221414408460013,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_6-prop-3_last5,success,0.576,7700,0.0,158.0,5.0,10.0,0.0,5.0,163.0,411.0,success,5.06,18760,158.0,success,0.241,61856,0.0,0.0,0.0,158.0,success,0.544,7928,0.0,158.0,5.0,0.0,163.0,0.0,0.0,391.0,success,1.727,85676,168.0,1.0,0.0,0.0,163,56,5,0.3146055322354967,0.0184049079754601,0.5221414408460013,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_6-prop-3_random5,timeout,310.0,1713032,,,,,,,,,timeout,310.0,363564,,invalid,253.894,3932592,,,,,memout,305.0,3937608,,,,,,,,,timeout,310.0,84012,,,,,163,56,5,0.3146055322354967,0.456441717791411,0.5221414408460013,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_7-prop-3_first5,success,129.603,920312,0.0,143614.0,16234.0,2631320.0,0.0,5.0,55.0,124553.0,success,274.623,1355792,143619.0,timeout,310.0,3053112,,,,,memout,305.0,72148,,,,,,,,,timeout,310.0,55752,,,,,55,20,5,0.3593073593073593,0.5818181818181818,0.5773480662983426,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_7-prop-3_last5,success,0.136,7308,0.0,118.0,27.0,432.0,0.0,5.0,55.0,42.0,success,0.331,5112,118.0,success,0.357,92592,0.0,0.0,1.0,2100.0,memout,305.0,3994500,,,,,,,,,timeout,310.0,86412,,,,,55,20,5,0.3593073593073593,0.1127272727272727,0.5773480662983426,0.7
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_7-prop-3_random5,success,8.194,102224,0.0,14691.0,1058.0,160771.0,0.0,5.0,55.0,7678.0,success,8.601,138724,14694.0,success,222.572,2881780,0.0,0.0,1.0,470660.0,memout,305.0,3994460,,,,,,,,,timeout,310.0,56672,,,,,55,20,5,0.3593073593073593,0.3927272727272727,0.5773480662983426,0.7
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_8-prop-3_first5,timeout,310.0,659356,,,,,,,,,timeout,310.0,441140,,timeout,310.0,3921332,,,,,memout,305.0,3193824,,,,,,,,,timeout,310.0,82912,,,,,154,53,5,0.3181818181818182,0.6363636363636364,0.5182994454713493,0.7142857142857143
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_8-prop-3_last5,success,0.499,7664,0.0,149.0,5.0,10.0,0.0,5.0,154.0,344.0,success,4.392,17176,149.0,success,0.221,59800,0.0,0.0,0.0,149.0,success,0.54,7856,0.0,149.0,5.0,0.0,154.0,0.0,0.0,343.0,success,1.482,55016,159.0,1.0,0.0,0.0,154,53,5,0.3181818181818182,0.0194805194805194,0.5182994454713493,0.2
ACAS-Xu-prop-3-benchmarks/ACAS-Xu-5_8-prop-3_random5,success,12.839,172464,0.0,9523.0,277.0,55502.0,0.0,5.0,154.0,11756.0,success,24.137,245948,9523.0,success,80.689,2808080,0.0,0.0,1.0,220818.0,memout,305.0,323212,,,,,,,,,timeout,310.0,84040,,,,,154,53,5,0.3181818181818182,0.1285714285714285,0.5182994454713493,0.65
